bullet_type,caliber,gun_type,velocity,mass,rifling_twist,target_material,distance,damage_level
EFMJ,9.63,Winchester Model 70,995.22,8.8,9.03,Concrete,41.0,24
AMAX,5.0,Springfield XD,376.64,12.59,11.88,Water,7.0,60
Critical Defense,8.79,HK416,561.85,3.51,12.48,Glass,41.0,57
AMAX,11.35,SCAR-L,656.74,10.35,9.03,Glass,10.0,114
EFMJ,12.13,Remington 870,383.91,6.03,7.4,Water,21.0,62
Extreme Point,7.61,Kel-Tec KSG,680.29,11.17,13.72,Metal,1.0,43
Black Talon,8.05,FN Five-seveN,501.8,9.55,8.35,Glass,12.0,82
AMAX,5.0,AR-15,447.29,11.53,7.33,Concrete,21.0,19
AMAX,6.75,Smith & Wesson M&P,383.82,6.3,10.4,Brick,7.0,47
HST,5.0,Dragunov SVD,300.68,5.16,6.0,Glass,8.0,72
Black Talon,10.32,Beretta 92FS,300.0,8.01,10.16,Water,10.0,58
Black Talon,11.53,Benelli M4,1000.0,5.68,11.67,Ceramic,6.0,26
PowerBond,7.64,Dragunov SVD,791.47,5.48,8.88,Glass,18.0,67
Ranger T-Series,5.83,Benelli M4,520.59,5.19,11.06,Rubber,1.0,78
Golden Saber,9.92,Walther PPQ,812.0,10.53,10.96,Concrete,36.0,10
EFMJ,6.4,Kel-Tec KSG,785.84,15.81,11.01,Glass,64.0,40
ELD-M,11.02,Sig Sauer P320,619.31,11.17,9.19,Metal,4.0,44
Ranger T-Series,14.81,Dragunov SVD,431.0,10.8,10.08,Water,5.0,73
Critical Duty,6.35,Kel-Tec KSG,714.83,10.7,10.37,Water,59.0,41
Hydra-Shok,6.77,M4 Carbine,681.72,4.35,10.15,Metal,4.0,46
AccuBond,5.0,Barrett M82,658.23,10.77,9.67,Sand,2.0,43
Ranger T-Series,9.44,M4 Carbine,432.56,2.0,13.61,Rubber,32.0,51
PolyCase ARX,9.23,Desert Eagle,575.79,9.49,10.65,Ceramic,23.0,19
PowerBond,8.19,AK-47,554.68,10.93,10.83,Glass,23.0,80
AccuBond,9.05,Ruger SR9,423.86,11.25,7.55,Glass,5.0,88
BTHP,5.87,HK416,573.99,10.61,14.0,Concrete,9.0,34
SP,5.0,Benelli M4,750.56,3.02,11.76,Sand,3.0,58
Gold Dot,6.72,Barrett M82,805.11,5.43,10.67,Water,4.0,49
Black Talon,5.0,HK416,599.89,12.7,13.44,Metal,14.0,33
BT,6.35,Ruger SR9,466.79,9.48,7.64,Kevlar,22.0,17
TMJ,9.93,FN Five-seveN,670.94,9.26,7.8,Brick,8.0,28
HST,9.18,CZ 75,325.58,5.88,12.11,Ceramic,13.0,23
Hydra-Shok,5.0,AR-15,424.58,3.59,12.52,Kevlar,9.0,33
PowerBond,12.15,Dragunov SVD,755.03,5.08,6.29,Wood,49.0,64
Partition,8.42,SCAR-L,874.35,2.44,8.03,Sand,24.0,57
AMAX,5.1,Barrett M82,727.98,10.2,6.97,Brick,20.0,19
Hydra-Shok,7.91,Remington 700,483.68,2.0,11.94,Ceramic,26.0,17
PolyCase ARX,7.25,SCAR-L,300.0,5.09,10.19,Kevlar,6.0,31
Golden Saber,6.4,AR-15,656.8,15.89,10.92,Ceramic,53.0,34
Black Talon,11.44,Ruger SR9,604.74,7.14,7.92,Glass,4.0,95
ELD-M,5.68,Glock 17,610.49,4.91,10.53,Sand,3.0,49
PolyCase ARX,9.55,Desert Eagle,300.0,16.94,6.91,Concrete,47.0,24
PowerBond,5.0,SCAR-L,433.88,6.38,11.65,Ceramic,6.0,30
Critical Defense,8.89,AK-47,873.06,15.95,13.6,Ceramic,38.0,34
HST,9.8,HK416,300.0,6.89,6.0,Metal,7.0,16
HST,9.8,Mossberg 500,615.68,11.65,12.76,Sand,7.0,57
TMJ,9.24,Benelli M4,368.76,17.17,9.8,Metal,63.0,24
Gold Dot,8.28,Dragunov SVD,601.5,8.6,10.71,Brick,67.0,21
Golden Saber,5.81,M4 Carbine,460.21,6.63,9.23,Kevlar,65.0,6
EFMJ,5.84,Remington 870,741.3,10.86,7.87,Metal,3.0,29
JHP,9.9,Walther PPQ,508.25,4.04,13.35,Sand,17.0,39
V-Crown,5.22,Mossberg 500,698.94,13.05,8.75,Metal,1.0,46
ELD-M,5.0,Desert Eagle,922.25,5.43,13.08,Water,23.0,43
Critical Defense,13.29,CZ 75,697.22,2.0,11.6,Wood,22.0,63
JHP,8.22,Dragunov SVD,615.31,7.61,9.54,Glass,97.0,44
Black Talon,10.91,Glock 17,731.46,6.26,13.43,Rubber,42.0,64
V-Crown,11.62,Desert Eagle,612.53,2.0,9.92,Ceramic,5.0,24
V-MAX,9.15,Ruger SR9,378.4,8.06,12.64,Metal,12.0,36
AccuBond,7.87,M4 Carbine,330.82,3.65,12.51,Sand,6.0,52
TMJ,7.92,Barrett M82,638.03,6.21,7.48,Metal,1.0,36
Black Talon,13.82,SCAR-L,374.94,3.64,8.46,Ceramic,10.0,35
Hydra-Shok,7.32,AR-15,355.53,10.65,9.61,Wood,2.0,76
BT,9.53,Walther PPQ,461.88,7.95,9.66,Glass,29.0,52
Black Talon,11.03,Remington 870,300.0,2.19,10.92,Kevlar,10.0,10
SP,9.75,Colt 1911,369.22,13.66,6.59,Rubber,1.0,51
BT,12.25,Remington 700,352.88,9.26,9.92,Glass,6.0,81
Partition,7.84,AK-47,992.39,6.03,11.11,Sand,8.0,55
AMAX,11.02,Glock 17,650.22,4.98,11.74,Concrete,12.0,24
AMAX,5.0,Barrett M82,415.73,7.77,8.84,Sand,23.0,38
AMAX,13.04,Remington 700,346.63,2.95,7.97,Glass,31.0,66
Critical Defense,12.37,M16,300.0,13.28,9.35,Glass,85.0,68
AccuBond,8.09,Winchester Model 70,300.0,12.56,11.1,Concrete,39.0,24
PowerBond,10.32,M16,300.0,6.71,7.61,Metal,12.0,49
AMAX,11.67,Benelli M4,304.66,6.45,9.45,Kevlar,2.0,19
EFMJ,5.89,Walther PPQ,497.93,4.47,9.1,Sand,22.0,29
Golden Saber,8.57,Mossberg 500,462.43,9.09,6.93,Water,11.0,60
AMAX,5.08,Smith & Wesson M&P,321.41,9.12,6.84,Water,10.0,56
AccuBond,12.42,Remington 870,489.82,10.87,12.98,Water,8.0,87
TMJ,11.47,Dragunov SVD,300.0,9.16,11.63,Water,4.0,53
ELD-M,8.16,Ruger SR9,588.84,4.44,12.02,Ceramic,2.0,19
HST,7.81,SCAR-L,652.79,5.11,9.32,Rubber,34.0,53
AP,8.55,CZ 75,598.58,8.59,10.3,Brick,4.0,41
Critical Duty,6.31,Glock 17,718.78,5.23,11.15,Kevlar,24.0,26
AP,8.48,Sig Sauer P320,300.0,13.52,13.15,Ceramic,26.0,4
BT,5.89,Glock 17,507.96,7.94,10.78,Glass,7.0,58
Extreme Point,11.69,HK416,309.44,2.24,8.66,Kevlar,16.0,19
AP,12.41,M16,300.0,7.64,11.33,Brick,25.0,23
V-Crown,11.84,Smith & Wesson M&P,300.0,7.22,6.0,Glass,3.0,92
V-MAX,5.42,Dragunov SVD,995.69,13.42,8.23,Kevlar,4.0,24
AccuBond,8.37,M4 Carbine,682.26,8.18,10.21,Brick,25.0,37
AccuBond,10.75,Springfield XD,824.5,10.39,11.29,Wood,7.0,64
PowerBond,11.31,Remington 700,570.55,7.41,11.39,Wood,2.0,80
Extreme Point,5.0,AR-15,334.42,12.1,9.2,Brick,15.0,23
JHP,11.22,Sig Sauer P320,634.37,13.29,9.74,Ceramic,33.0,31
PowerBond,5.27,Remington 700,968.54,4.36,9.35,Water,7.0,73
EFMJ,8.54,Glock 17,604.93,5.65,11.38,Concrete,6.0,37
Golden Saber,12.77,Barrett M82,477.49,7.16,11.06,Rubber,5.0,57
BT,12.37,Glock 17,554.32,11.69,9.81,Kevlar,13.0,15
V-MAX,12.98,Kel-Tec KSG,723.08,5.43,8.73,Metal,17.0,49
TMJ,5.8,Ruger SR9,496.79,2.0,10.78,Kevlar,3.0,13
AMAX,6.54,Sig Sauer P320,476.65,11.24,10.19,Metal,32.0,39
Golden Saber,7.31,AK-47,364.48,4.91,13.02,Sand,15.0,38
AccuBond,8.56,HK USP,570.94,6.67,9.9,Wood,17.0,68
SP,9.65,Walther PPQ,300.0,6.45,9.57,Glass,3.0,67
Critical Defense,12.83,HK USP,423.06,2.0,8.34,Wood,20.0,68
Ranger T-Series,6.21,Sig Sauer P320,474.3,3.29,13.05,Kevlar,23.0,8
PowerBond,7.11,M4 Carbine,300.0,11.43,10.17,Concrete,10.0,25
HST,13.27,Desert Eagle,495.49,7.85,10.48,Ceramic,18.0,22
FMJ,5.52,FN Five-seveN,690.69,11.83,13.42,Kevlar,5.0,11
PowerBond,11.18,Sig Sauer P320,790.1,14.47,12.32,Rubber,20.0,52
TMJ,8.73,Smith & Wesson M&P,452.66,2.0,7.23,Rubber,15.0,34
Partition,10.16,Barrett M82,409.0,6.67,12.4,Brick,17.0,26
PowerBond,6.57,AR-15,447.82,7.56,12.32,Kevlar,6.0,15
TMJ,11.12,Smith & Wesson M&P,625.14,14.05,6.51,Brick,31.0,22
PolyCase ARX,7.04,Remington 700,375.23,3.68,13.03,Wood,35.0,52
AccuBond,5.0,Smith & Wesson M&P,374.94,9.31,8.84,Sand,2.0,53
JHP,10.44,Barrett M82,554.21,13.14,11.52,Metal,40.0,27
BTHP,5.0,Winchester Model 70,603.76,11.56,8.97,Rubber,30.0,41
Extreme Point,7.3,Winchester Model 70,540.18,10.05,14.0,Glass,16.0,83
Critical Duty,9.87,Beretta 92FS,524.79,5.13,10.42,Brick,1.0,46
Partition,11.27,Benelli M4,403.11,12.35,11.81,Ceramic,15.0,47
Ranger T-Series,12.68,CZ 75,504.07,2.0,10.31,Kevlar,13.0,1
V-Crown,14.33,Glock 17,300.0,10.01,7.9,Ceramic,5.0,9
Gold Dot,13.42,Barrett M82,809.96,2.0,9.83,Brick,36.0,28
Critical Defense,9.57,SCAR-L,532.22,15.15,7.19,Kevlar,8.0,15
AMAX,12.38,Ruger SR9,920.79,3.41,10.59,Sand,17.0,44
HST,9.53,HK USP,757.73,6.15,9.59,Water,12.0,50
Hydra-Shok,11.06,CZ 75,336.98,14.67,7.22,Wood,42.0,54
TMJ,7.2,Springfield XD,427.18,9.79,9.09,Sand,14.0,29
Hydra-Shok,10.39,SCAR-L,300.0,5.09,7.83,Metal,7.0,54
Hydra-Shok,7.58,Walther PPQ,366.08,8.48,9.08,Kevlar,26.0,14
PowerBond,8.48,Dragunov SVD,300.0,9.17,9.7,Ceramic,29.0,18
ELD-M,10.4,Remington 700,315.28,9.69,11.45,Brick,55.0,35
Critical Duty,15.0,Benelli M4,300.0,7.16,8.24,Wood,27.0,79
HST,10.18,Colt 1911,676.31,6.71,8.35,Rubber,1.0,63
BTHP,8.96,Remington 700,300.0,10.75,10.68,Water,35.0,33
AMAX,6.5,AK-47,945.17,6.99,10.12,Wood,13.0,85
Black Talon,11.69,Remington 700,435.65,3.7,11.5,Brick,3.0,31
PolyCase ARX,7.99,Beretta 92FS,769.42,6.74,9.59,Concrete,77.0,14
V-Crown,10.12,Desert Eagle,307.16,7.92,11.1,Metal,21.0,22
Critical Duty,11.11,FN Five-seveN,655.63,9.38,6.0,Kevlar,45.0,13
Ranger T-Series,12.79,Barrett M82,300.0,8.78,8.53,Metal,4.0,33
BTHP,11.53,AR-15,300.0,2.72,10.07,Sand,30.0,54
Critical Defense,5.33,Desert Eagle,718.9,9.99,9.78,Sand,18.0,50
Critical Defense,5.0,AK-47,475.61,7.17,10.29,Brick,10.0,35
V-MAX,11.1,SCAR-L,460.36,5.75,11.76,Kevlar,5.0,26
Gold Dot,9.26,HK USP,300.0,11.74,8.95,Kevlar,8.0,19
ELD-M,10.17,Mossberg 500,325.75,5.11,10.6,Concrete,15.0,33
Partition,14.16,Dragunov SVD,300.0,15.14,9.53,Wood,26.0,60
SP,7.15,Sig Sauer P320,395.34,14.75,10.93,Brick,11.0,58
Ranger T-Series,12.87,Ruger SR9,551.24,12.03,10.98,Glass,10.0,96
V-Crown,7.18,Ruger SR9,515.85,5.31,7.8,Concrete,1.0,12
Ranger T-Series,13.7,Ruger SR9,517.95,10.29,10.69,Rubber,60.0,40
PowerBond,11.25,Desert Eagle,300.0,9.07,11.19,Rubber,29.0,42
ELD-M,5.0,Springfield XD,539.34,5.11,10.29,Rubber,100.0,13
AP,7.75,Remington 870,436.23,12.28,10.75,Rubber,51.0,33
Partition,14.75,FN Five-seveN,342.8,8.0,10.33,Concrete,40.0,9
AMAX,14.37,Remington 870,300.0,2.0,8.44,Sand,1.0,44
Critical Duty,10.81,Desert Eagle,632.79,13.91,9.07,Concrete,19.0,31
Critical Duty,10.06,HK416,300.0,14.04,10.34,Ceramic,5.0,32
HST,9.72,FN Five-seveN,300.0,7.74,9.84,Wood,43.0,63
HST,10.31,SCAR-L,529.43,10.48,8.68,Wood,34.0,84
BT,8.58,Winchester Model 70,397.18,9.38,8.62,Ceramic,4.0,9
V-MAX,12.63,HK416,575.64,6.1,9.86,Wood,31.0,49
Gold Dot,10.73,HK USP,519.27,18.68,7.21,Wood,87.0,26
Critical Duty,6.1,Ruger SR9,364.16,5.53,9.01,Ceramic,9.0,22
Partition,10.96,Glock 17,300.0,8.21,12.49,Water,9.0,53
Golden Saber,9.49,Barrett M82,650.63,3.53,10.54,Sand,1.0,45
Extreme Point,8.06,Benelli M4,465.42,11.43,9.1,Ceramic,26.0,23
AP,14.7,Glock 17,300.0,10.77,9.09,Wood,35.0,65
ELD-M,9.31,Desert Eagle,300.0,11.44,14.0,Rubber,1.0,56
AMAX,5.0,Winchester Model 70,566.51,3.12,9.93,Metal,58.0,30
Partition,8.28,Sig Sauer P320,372.93,9.1,11.07,Rubber,2.0,56
Critical Duty,11.98,Remington 870,300.0,9.58,8.56,Brick,17.0,39
V-MAX,6.22,HK USP,735.61,2.74,10.98,Brick,52.0,8
V-MAX,11.88,CZ 75,300.0,9.56,7.25,Concrete,53.0,15
AccuBond,6.01,Desert Eagle,450.04,5.41,9.2,Wood,3.0,64
PolyCase ARX,13.01,Smith & Wesson M&P,644.94,6.81,9.42,Sand,71.0,25
SP,7.28,M4 Carbine,597.72,10.31,6.0,Wood,6.0,59
SP,7.94,Beretta 92FS,300.0,8.79,10.93,Rubber,8.0,33
Critical Duty,7.72,Sig Sauer P320,763.47,5.03,9.0,Ceramic,22.0,16
Extreme Point,10.79,Sig Sauer P320,783.98,3.46,11.64,Rubber,2.0,52
JHP,14.53,Winchester Model 70,704.88,7.34,9.49,Brick,15.0,34
Ranger T-Series,9.04,Kel-Tec KSG,326.67,8.9,8.05,Wood,34.0,43
Extreme Point,8.97,Mossberg 500,454.94,8.06,11.05,Wood,14.0,68
V-MAX,7.28,Ruger SR9,751.61,7.5,9.73,Ceramic,1.0,19
AMAX,5.0,Dragunov SVD,588.82,7.08,10.08,Water,33.0,40
PowerBond,7.58,Sig Sauer P320,372.36,13.74,11.04,Glass,5.0,94
AMAX,5.22,M16,457.45,8.76,10.43,Brick,33.0,33
Partition,5.0,AR-15,300.0,8.81,8.73,Metal,56.0,21
V-MAX,8.77,Mossberg 500,729.84,7.12,6.59,Concrete,28.0,28
Golden Saber,7.37,Colt 1911,479.61,6.3,8.1,Water,1.0,52
SP,13.13,Ruger SR9,848.6,15.53,9.63,Sand,22.0,49
TMJ,6.43,Walther PPQ,300.0,10.25,9.95,Ceramic,6.0,13
SP,11.01,Walther PPQ,305.7,11.11,12.89,Rubber,4.0,33
Critical Defense,10.95,FN Five-seveN,489.44,4.8,14.0,Wood,29.0,52
HST,13.01,Mossberg 500,952.27,11.96,9.76,Kevlar,7.0,42
BT,8.45,Mossberg 500,515.54,3.99,10.87,Ceramic,3.0,32
Black Talon,12.96,Desert Eagle,348.04,9.33,9.08,Brick,4.0,43
Partition,10.68,FN Five-seveN,503.56,8.44,8.65,Ceramic,23.0,35
BTHP,12.42,Springfield XD,364.84,13.29,9.57,Ceramic,12.0,22
PolyCase ARX,15.0,HK416,689.26,6.01,8.8,Rubber,5.0,60
Black Talon,8.63,Mossberg 500,672.27,10.24,8.49,Concrete,2.0,30
ELD-M,9.51,M16,822.05,9.57,8.9,Kevlar,55.0,11
Extreme Point,7.91,Remington 700,300.0,4.93,8.63,Ceramic,100.0,-1
AP,13.63,Winchester Model 70,300.0,10.15,10.02,Sand,10.0,57
Critical Duty,15.0,HK USP,453.42,7.4,10.29,Concrete,6.0,17
Critical Duty,11.2,Smith & Wesson M&P,663.16,7.83,7.71,Concrete,1.0,25
TMJ,5.0,FN Five-seveN,704.93,6.53,10.71,Rubber,7.0,46
V-Crown,6.35,SCAR-L,548.01,8.24,9.83,Wood,17.0,84
HST,12.48,Barrett M82,662.81,8.17,9.59,Rubber,15.0,64
Black Talon,5.57,Barrett M82,803.0,10.12,10.66,Water,11.0,57
Black Talon,7.2,M16,342.45,9.29,13.01,Metal,9.0,53
Critical Duty,7.09,Sig Sauer P320,793.42,11.52,9.72,Concrete,77.0,10
HST,8.77,AR-15,799.51,11.3,8.14,Concrete,14.0,33
Extreme Point,9.77,Kel-Tec KSG,389.61,14.0,11.03,Brick,1.0,43
AP,5.0,M16,310.17,10.74,11.09,Brick,24.0,29
FMJ,5.0,AK-47,651.57,8.58,10.53,Ceramic,18.0,16
FMJ,5.0,Barrett M82,898.13,12.53,9.94,Rubber,3.0,25
Hydra-Shok,5.0,Winchester Model 70,331.11,8.5,7.8,Rubber,25.0,36
Critical Duty,9.05,Barrett M82,884.06,9.16,7.71,Concrete,1.0,31
HST,9.58,Kel-Tec KSG,307.9,2.0,9.23,Glass,26.0,61
AccuBond,12.04,Desert Eagle,456.01,4.4,7.96,Concrete,3.0,12
AMAX,10.66,Mossberg 500,300.0,10.8,11.61,Sand,83.0,17
V-Crown,7.25,HK416,586.15,13.37,6.85,Brick,14.0,20
Critical Duty,9.69,Remington 700,527.13,10.15,9.88,Rubber,1.0,78
PowerBond,12.16,Benelli M4,509.93,10.43,9.71,Glass,36.0,85
Golden Saber,8.32,Colt 1911,374.46,10.69,11.12,Glass,35.0,78
AMAX,8.07,Winchester Model 70,414.55,8.15,11.44,Kevlar,29.0,8
AMAX,6.17,Ruger SR9,486.7,4.25,8.46,Water,15.0,45
Hydra-Shok,6.59,Dragunov SVD,447.79,10.56,12.57,Kevlar,5.0,9
Critical Duty,11.06,Sig Sauer P320,491.46,3.05,7.89,Ceramic,20.0,24
ELD-M,8.99,Remington 700,300.0,9.97,11.72,Sand,38.0,28
BT,14.88,Desert Eagle,300.0,13.68,11.19,Sand,14.0,41
HST,6.97,Smith & Wesson M&P,569.39,9.15,6.37,Ceramic,1.0,23
Partition,11.28,AR-15,575.92,10.1,7.88,Kevlar,74.0,17
Ranger T-Series,10.16,CZ 75,546.87,12.35,11.81,Water,23.0,54
PowerBond,8.73,Barrett M82,605.55,7.41,10.33,Wood,80.0,27
JHP,7.69,HK USP,409.46,13.98,10.13,Glass,4.0,101
Extreme Point,10.8,Remington 870,429.66,12.09,6.0,Ceramic,5.0,13
V-Crown,10.63,FN Five-seveN,404.38,8.55,9.66,Water,2.0,61
HST,9.61,Beretta 92FS,300.0,2.0,8.66,Ceramic,5.0,22
ELD-M,10.28,Benelli M4,614.95,7.59,7.51,Brick,2.0,41
Critical Duty,9.11,Kel-Tec KSG,657.07,7.55,11.36,Ceramic,6.0,12
V-Crown,5.0,AR-15,686.37,9.3,10.09,Concrete,17.0,21
Golden Saber,9.25,Dragunov SVD,437.84,13.84,8.29,Rubber,34.0,38
V-Crown,8.19,CZ 75,356.49,12.08,8.47,Rubber,2.0,48
Critical Duty,14.84,Sig Sauer P320,405.9,8.9,10.21,Wood,3.0,71
EFMJ,10.9,Winchester Model 70,396.9,6.98,10.93,Glass,7.0,70
PolyCase ARX,9.6,Dragunov SVD,300.0,2.0,11.49,Sand,8.0,40
PolyCase ARX,10.39,Mossberg 500,559.43,11.07,11.07,Ceramic,44.0,6
Ranger T-Series,5.93,HK USP,668.73,9.46,9.94,Concrete,5.0,27
PowerBond,7.17,Barrett M82,543.32,12.09,8.31,Water,3.0,56
HST,8.0,AR-15,504.51,9.51,10.68,Rubber,41.0,48
AMAX,10.17,Springfield XD,374.55,5.76,8.03,Brick,43.0,33
Gold Dot,7.7,SCAR-L,652.41,10.03,10.2,Ceramic,31.0,33
Black Talon,7.5,Springfield XD,482.47,9.4,9.68,Concrete,10.0,31
Hydra-Shok,5.8,CZ 75,300.0,12.05,11.6,Concrete,49.0,24
BTHP,9.08,Smith & Wesson M&P,764.63,6.99,11.44,Water,12.0,60
Black Talon,9.5,Springfield XD,629.33,5.62,11.17,Glass,31.0,81
TMJ,10.29,Desert Eagle,830.98,8.77,10.96,Sand,11.0,31
Critical Defense,6.91,Walther PPQ,732.56,7.92,9.81,Water,13.0,56
PolyCase ARX,10.11,Colt 1911,375.4,5.97,13.1,Concrete,39.0,31
PowerBond,5.88,AR-15,442.98,5.91,11.18,Glass,1.0,87
Black Talon,8.34,Kel-Tec KSG,702.31,13.15,12.97,Concrete,6.0,30
FMJ,9.9,Springfield XD,300.0,7.89,12.11,Metal,21.0,34
Partition,8.22,SCAR-L,831.18,12.74,9.16,Ceramic,51.0,21
Black Talon,5.0,CZ 75,565.49,16.75,8.88,Glass,1.0,96
BTHP,5.0,Mossberg 500,665.59,7.39,10.98,Glass,12.0,72
Extreme Point,9.66,Glock 17,564.6,5.47,7.61,Wood,15.0,56
Hydra-Shok,10.74,AK-47,510.68,4.24,9.29,Water,100.0,27
FMJ,10.02,M4 Carbine,441.93,12.65,8.63,Water,24.0,46
Critical Defense,10.81,Smith & Wesson M&P,470.7,7.79,9.95,Sand,3.0,42
SP,8.16,Remington 700,300.0,8.75,6.0,Kevlar,16.0,20
EFMJ,11.22,Benelli M4,612.55,6.93,14.0,Concrete,3.0,25
JHP,10.01,Desert Eagle,935.75,7.95,11.4,Sand,26.0,55
Ranger T-Series,7.08,Mossberg 500,334.16,18.85,12.07,Glass,9.0,78
BTHP,10.54,Desert Eagle,300.0,5.84,10.31,Concrete,22.0,3
Hydra-Shok,9.89,Springfield XD,813.75,2.0,12.4,Water,45.0,42
Critical Defense,14.02,SCAR-L,575.52,8.1,11.12,Metal,31.0,46
FMJ,13.14,Kel-Tec KSG,680.93,6.22,11.65,Glass,32.0,48
Critical Duty,8.72,Remington 870,600.66,11.11,10.98,Glass,7.0,93
Golden Saber,7.75,Kel-Tec KSG,314.53,8.35,12.72,Water,18.0,50
Partition,13.68,Ruger SR9,681.77,12.92,8.6,Metal,4.0,56
Partition,10.65,Kel-Tec KSG,401.4,2.0,13.12,Water,5.0,58
AMAX,8.48,HK416,334.81,10.63,9.68,Rubber,25.0,46
AMAX,5.0,Remington 700,627.69,13.83,8.4,Wood,10.0,72
Critical Defense,6.73,Remington 870,534.55,6.76,10.88,Water,44.0,44
FMJ,6.52,Walther PPQ,582.63,6.7,7.79,Wood,13.0,42
EFMJ,8.56,M4 Carbine,575.49,6.56,9.03,Sand,1.0,40
AMAX,10.86,FN Five-seveN,666.06,6.15,9.45,Wood,11.0,73
TMJ,11.31,Kel-Tec KSG,759.34,12.73,9.56,Kevlar,3.0,27
Gold Dot,13.5,Remington 870,542.31,4.61,11.94,Water,100.0,10
EFMJ,11.79,M16,788.92,10.76,11.65,Concrete,1.0,26
ELD-M,5.1,Walther PPQ,726.34,2.22,9.38,Ceramic,16.0,14
EFMJ,12.09,CZ 75,647.96,3.28,10.88,Wood,9.0,64
HST,14.2,Beretta 92FS,385.05,8.72,14.0,Glass,19.0,90
FMJ,14.05,Remington 700,695.94,3.97,7.59,Kevlar,15.0,6
PolyCase ARX,5.36,Desert Eagle,585.51,3.8,7.99,Metal,50.0,24
PolyCase ARX,8.43,SCAR-L,300.0,13.01,10.1,Wood,4.0,70
AMAX,11.88,AK-47,300.0,10.15,14.0,Sand,3.0,60
PowerBond,5.52,Mossberg 500,300.0,8.39,8.35,Water,41.0,30
AccuBond,5.0,Glock 17,300.0,10.76,8.83,Glass,54.0,44
V-MAX,9.94,Remington 700,300.0,2.59,11.12,Ceramic,9.0,9
Extreme Point,6.97,AK-47,667.3,4.4,11.9,Water,63.0,45
V-Crown,5.0,AR-15,516.43,9.11,10.01,Ceramic,8.0,43
V-MAX,12.69,HK416,676.56,2.33,10.46,Water,18.0,58
BT,9.49,Dragunov SVD,300.0,2.46,9.97,Glass,22.0,57
Critical Duty,7.44,Winchester Model 70,300.0,6.81,10.36,Concrete,100.0,11
Gold Dot,6.11,Glock 17,327.36,8.87,7.1,Water,4.0,58
Extreme Point,9.52,Smith & Wesson M&P,638.58,7.23,10.35,Brick,7.0,25
AMAX,10.55,Winchester Model 70,649.62,4.48,10.07,Brick,16.0,31
BTHP,9.98,AR-15,454.58,4.68,10.73,Water,5.0,61
HST,5.0,Kel-Tec KSG,564.49,7.14,8.92,Ceramic,17.0,25
SP,10.43,Kel-Tec KSG,398.68,11.1,11.0,Brick,30.0,26
Gold Dot,11.08,SCAR-L,354.87,14.18,11.63,Ceramic,42.0,30
EFMJ,7.97,AK-47,579.53,8.38,14.0,Sand,8.0,50
AccuBond,12.12,Mossberg 500,632.58,2.0,9.06,Water,4.0,71
HST,6.44,Springfield XD,858.1,11.6,8.04,Glass,23.0,89
PolyCase ARX,12.87,M16,300.32,10.74,10.35,Rubber,23.0,59
Gold Dot,9.4,Remington 870,300.0,5.87,11.04,Sand,12.0,30
JHP,7.51,Colt 1911,400.93,7.25,10.24,Brick,18.0,34
AMAX,8.04,Desert Eagle,622.64,13.83,10.26,Glass,32.0,88
Gold Dot,12.0,Sig Sauer P320,901.55,14.42,8.89,Sand,26.0,52
ELD-M,9.71,Dragunov SVD,528.33,4.89,6.88,Kevlar,22.0,16
HST,10.94,Walther PPQ,327.58,16.95,12.49,Brick,22.0,31
V-MAX,12.22,M16,300.0,9.94,13.23,Sand,26.0,54
Gold Dot,7.42,M4 Carbine,383.51,18.15,8.53,Wood,19.0,79
AccuBond,9.38,CZ 75,545.88,2.71,8.79,Concrete,2.0,34
V-MAX,8.33,CZ 75,642.52,5.97,6.84,Sand,17.0,40
JHP,12.05,Dragunov SVD,543.72,2.0,9.21,Sand,44.0,36
V-MAX,7.85,Desert Eagle,356.03,7.28,10.68,Ceramic,1.0,27
PowerBond,9.14,HK416,300.0,11.38,8.71,Brick,10.0,30
BT,15.0,AK-47,631.16,15.42,11.5,Ceramic,10.0,37
Gold Dot,12.86,Desert Eagle,389.86,5.19,8.12,Glass,6.0,76
Black Talon,5.89,Desert Eagle,406.42,9.47,11.26,Brick,17.0,20
AP,11.71,Winchester Model 70,300.0,6.84,10.62,Kevlar,4.0,16
Extreme Point,11.07,Springfield XD,300.0,10.9,9.31,Water,50.0,36
HST,5.7,Barrett M82,828.99,7.51,9.49,Metal,3.0,46
EFMJ,8.67,Remington 700,368.28,6.96,11.42,Metal,67.0,16
AP,6.16,Mossberg 500,300.0,2.0,14.0,Concrete,1.0,22
Critical Duty,5.0,M16,532.59,9.19,9.75,Sand,13.0,65
Black Talon,8.56,SCAR-L,470.35,13.9,11.99,Kevlar,1.0,26
HST,7.48,FN Five-seveN,300.0,2.97,13.26,Glass,42.0,61
BTHP,5.7,Benelli M4,728.16,11.7,8.68,Water,32.0,55
AP,8.97,HK USP,632.46,8.37,8.23,Rubber,5.0,74
PowerBond,5.0,Benelli M4,668.5,2.0,10.02,Sand,3.0,53
Golden Saber,9.12,HK USP,553.56,6.66,10.35,Brick,5.0,38
Gold Dot,9.05,Sig Sauer P320,300.0,6.93,11.01,Ceramic,2.0,21
SP,11.04,Kel-Tec KSG,487.55,9.78,8.41,Metal,5.0,49
Golden Saber,5.0,Sig Sauer P320,403.84,10.23,11.49,Wood,1.0,71
